Numéro de mesure,Longitude,Latitude,Position,Insee,Adresse,Complément,Code postal,Commune,Date de mesure,Mesure réalisée,Rapport,Conformité de la mesure,Niveau global,Type d'environnement,Laboratoire
150733,3.35042,43.61659,"03° 21' 01.52'' Est, 43° 36' 59.72'' Nord",34175,71 Route de la Dolomie,,34800,MOUREZE,14/12/2018,En intérieur,R_SO6889_2_4PUB.pdf,Oui,0.22,Lieu d'habitation,EXEM
150734,3.34937,43.61682,"03° 20' 57.74'' Est, 43° 37' 00.53'' Nord",34175,1 Chemin du Pigeonnier,,34800,MOUREZE,14/12/2018,En intérieur,R_SO6889_2_1PUB.pdf,Oui,0.13,Lieu d'habitation,EXEM
150740,3.34864,43.61592,"03° 20' 55.11'' Est, 43° 36' 57.32'' Nord",34175,2 Route de la Plaine,,34800,MOUREZE,14/12/2018,En intérieur,R_SO6889_2_3PUB.pdf,Oui,0.12,Lieu d'habitation,EXEM
150822,3.35139,43.61641,"03° 21' 05.00'' Est, 43° 36' 59.08'' Nord",34175,69 Route de la Dolomie,,34800,MOUREZE,14/12/2018,En intérieur,R_SO6889_2_2PUB.pdf,Oui,0.13,Lieu d'habitation,EXEM
151343,3.87045,43.59187,"03° 52' 13.62'' Est, 43° 35' 30.73'' Nord",34172,337 Rue du Vercors,,34070,MONTPELLIER,19/10/2018,En intérieur,R_SO6622_2_1PUB.pdf,Oui,0.26,Lieu d'habitation,EXEM
151352,4.14637,43.67363,"04° 08' 46.92'' Est, 43° 40' 25.07'' Nord",34145,192 Rue Paul Valery,,34400,LUNEL,9/10/2018,En intérieur,R_SO6635_1_1PUB.pdf,Oui,0.10,Lieu d'habitation,EXEM
151812,3.29515,43.44951,"03° 17' 42.53'' Est, 43° 26' 58.23'' Nord",34001,2 rampe Camille Saint Saens,,34290,ABEILHAN,27/2/2019,En intérieur,R_SO7171_1_1PUB.pdf,Oui,0.96,Lieu d'habitation,EXEM
152011,3.88530,43.65397,"03° 53' 07.07'' Est, 43° 39' 14.30'' Nord",34077,10 Rue de la Méridienne,,34830,CLAPIERS,14/3/2019,En intérieur,R_SO7089_1_1PUB.pdf,Oui,0.22,Lieu d'habitation,EXEM
152116,3.21917,43.35147,"03° 13' 09.00'' Est, 43° 21' 05.28'' Nord",34032,2 Rue Edouard Branly,,34500,BEZIERS,14/3/2019,En intérieur,R_SO7089_1_3PUB.pdf,Oui,0.11,Lieu d'habitation,EXEM
152151,3.20651,43.47179,"03° 12' 23.42'' Est, 43° 28' 18.43'' Nord",34147,220 Chemin du Vic,,34480,MAGALAS,25/3/2019,En intérieur,R_SO7302_1_1PUB.pdf,Oui,0.29,Lieu d'habitation,EXEM
